Title,Price,Beds,Amenities,Specials
Isle House,"$2,875 - $6,745",Studio - 3 Beds,"Pets Allowed
Fitness Center
In Unit Washer & Dryer
High-Speed Internet
Concierge
Rooftop Deck",N/A
Westlake Apartments,"$1,925 - $6,237",Studio - 3 Beds,"Pets Allowed
Refrigerator
Kitchen
Walk-In Closets
Balcony
Range
Maintenance on site",N/A
1188 Mission at Trinity Place,"$2,748 - $2,914",Studio - 1 Bed,"Fitness Center
High-Speed Internet
Elevator",N/A
FOUND Study San Francisco | Student Housing,"$1,000 - $1,900",1 Bed,"Heat
High-Speed Internet
Controlled Access
Elevator
Laundry Facilities",N/A
Hawkins,"$2,645 - $7,180",Studio - 3 Beds,"Pets Allowed
Fitness Center
Pool
Dishwasher
Refrigerator
Kitchen",N/A
33 8th at Trinity Place,"$2,242 - $3,960",Studio - 2 Beds,"Pets Allowed
Fitness Center
Elevator",N/A
Tower 737 Condominium Rentals,"$2,328 - $9,177",Studio - 2 Beds,"Pets Allowed
Fitness Center
Stainless Steel Appliances
Business Center
Gated
Elevator
Laundry Facilities",N/A
Bayside Village,"$2,601 - $5,459",Studio - 2 Beds,"Pets Allowed
Fitness Center
Pool
Dishwasher
Kitchen
Walk-In Closets
Balcony",N/A
Alta Potrero,"$3,234 - $7,099",Studio - 3 Beds,"Pets Allowed
Fitness Center
Grill
Courtyard",N/A
SoMa Square,"$2,736 - $4,561",Studio - 3 Beds,"Pets Allowed
Fitness Center
Pool
Dishwasher
Refrigerator
In Unit Washer & Dryer
Clubhouse",N/A
South Beach Marina Apartments,"$3,525 - $5,725",1-2 Beds,"Pets Allowed
Fitness Center
Pool
Controlled Access
Hardwood Floors
Laundry Facilities
EV Charging",N/A
1030 Post Street Apartments,"$1,795",1 Bed,"Pets Allowed
Refrigerator
Maintenance on site
Disposal
Heat
High-Speed Internet
Oven",N/A
The Fillmore Center,"$2,120 - $5,245",Studio - 3 Beds,"Pets Allowed
Fitness Center
In Unit Washer & Dryer
Walk-In Closets
High-Speed Internet
Stainless Steel Appliances
Controlled Access",N/A
Soma at 788,"$2,815 - $6,144",Studio - 2 Beds,"Pets Allowed
Fitness Center
Dishwasher
Refrigerator
Kitchen
In Unit Washer & Dryer
Walk-In Closets",N/A
Prism,"$2,765 - $9,408",Studio - 3 Beds,"Pets Allowed
In Unit Washer & Dryer",N/A
The Presidio Residences,"$4,155 - $12,000",2-4 Beds,"Pets Allowed
Dishwasher
Kitchen
Range
Heat
Oven
Tub / Shower",N/A
Solaire,"$3,030 - $6,198",Studio - 2 Beds,"Pets Allowed
Fitness Center
Pool
In Unit Washer & Dryer
Stainless Steel Appliances
Business Center
Controlled Access",N/A
1190 Mission at Trinity Place,"$2,247 - $2,880",Studio - 2 Beds,"Pets Allowed
Fitness Center",N/A
The Cornelia Suites,"$2,250",Studio - 2 Beds,"Refrigerator
Kitchen
Microwave
High-Speed Internet
Hardwood Floors
Elevator
Laundry Facilities",N/A
Jasper,"$3,509 - $7,779",Studio - 3 Beds,"Pets Allowed
Fitness Center
Pool
Dishwasher
Refrigerator
Kitchen",N/A
Spera,"$3,735 - $17,973",1-2 Beds,"Pets Allowed
Fitness Center
In Unit Washer & Dryer
Package Service
Controlled Access
Concierge
EV Charging",N/A
Towers at Rincon,"$3,525 - $6,132",Studio - 2 Beds,"Pets Allowed
Walk-In Closets
Clubhouse
High-Speed Internet
Business Center
Controlled Access
Concierge",N/A
L Seven,"$2,855 - $6,529",Studio - 2 Beds,"Pets Allowed
Fitness Center
Balcony
Patio
Stainless Steel Appliances
Grill
Courtyard",N/A
1177 Market at Trinity Place,"$3,145 - $4,266",1-2 Beds,"Pets Allowed
Fitness Center
Stainless Steel Appliances
Granite Countertops",N/A
Chorus,"$3,075 - $6,300",Studio - 3 Beds,"Pets Allowed
Fitness Center
Pool
Clubhouse
Package Service
Controlled Access
EV Charging",N/A
